team,home_goal_difference,away_goal_difference
England,1.4061930783242258,1.0462962962962963
Equatorial Guinea,0.1333333333333333,-1.3295454545454546
Eritrea,-0.46153846153846145,-1.3555555555555556
Estonia,-0.37827715355805225,-1.170212765957447
Eswatini,-0.44696969696969713,-1.1619718309859155
Ethiopia,0.5606694560669456,-1.0650887573964496
Falkland Islands,-2.9230769230769234,-2.6
Faroe Islands,-0.892857142857143,-1.9178082191780819
Felvidék,-0.6666666666666667,-0.4444444444444444
Fiji,1.401197604790419,-0.6435643564356437
Finland,-0.4033149171270718,-1.2478070175438596
France,0.9851024208566106,-0.06297229219143574
Franconia,2.0,-2.5
French Guiana,0.41975308641975295,-0.7448979591836735
Frøya,-0.7333333333333334,-3.409090909090909
Gabon,0.5147058823529412,-0.5572139303482587
Galicia,-0.5555555555555556,1.0
Gambia,0.08843537414965996,-0.8739495798319329
Georgia,0.4620689655172414,-0.7098765432098764
German DR,0.9772727272727273,0.09638554216867479
Germany,1.4566787003610109,0.6603773584905661
Ghana,1.1369426751592355,-0.014005602240896309
Gibraltar,-0.7222222222222221,-2.142857142857143
Gotland,1.25,-0.10000000000000009
Gozo,2.0,-1.5714285714285712
Greece,0.3302180685358256,-0.608974358974359
Greenland,0.84375,-0.911111111111111
Grenada,0.3740458015267176,-0.86046511627907
Guadeloupe,0.7323943661971832,-0.24031007751938005
Guam,-2.803921568627451,-4.444444444444445
Guatemala,0.6689895470383276,-0.6779026217228463
Guernsey,1.6287878787878787,0.8148148148148149
Guinea,0.9141630901287554,-0.4673202614379084
Guinea-Bissau,0.11827956989247301,-1.0515463917525774
Guyana,0.10691823899371067,-0.9025974025974026
Găgăuzia,-2.3333333333333335,
Haiti,0.782101167315175,-0.19367588932806323
Hitra,-2.0,-2.6923076923076925
Hmong,1.0,-2.5
Honduras,0.7763578274760384,-0.4299674267100977
Hong Kong,0.2201492537313432,-0.7921348314606742
Hungary,1.078313253012048,-0.021696252465483346
Iceland,-0.04661016949152552,-0.807017543859649
India,0.08737864077669899,-0.7098214285714286
Indonesia,0.7090069284064666,-0.9217687074829932
Iran,1.4326647564469914,0.6539923954372624
Iraq,1.082066869300912,0.12923076923076926
Iraqi Kurdistan,1.1538461538461537,1.3571428571428572
Isle of Man,2.148148148148148,1.3225806451612903
Isle of Wight,1.1111111111111112,1.0952380952380951
Israel,0.39350180505415167,-0.4343891402714932
Italy,1.2703252032520327,0.15960099750623447
Ivory Coast,1.2360248447204967,0.031847133757961776
Jamaica,0.5525525525525525,-0.5333333333333334
Japan,0.860759493670886,0.39556962025316467
Jersey,1.9147286821705427,1.0660377358490567
Jordan,0.6411290322580645,-0.3417721518987342
Kabylia,-2.0,-1.0
Kazakhstan,0.1359999999999999,-1.048951048951049
Kenya,0.5112219451371569,-0.6065573770491803
Kernow,0.22222222222222232,3.6666666666666665
Kiribati,-12.6,-9.333333333333332
Kosovo,0.31666666666666665,-0.13636363636363646
Kurdistan,2.0,2.0
Kuwait,0.7150259067357514,0.07046979865771807
Kyrgyzstan,-0.04761904761904767,-0.9150943396226414
Kárpátalja,1.5999999999999999,0.6666666666666666
Laos,-1.0000000000000002,-2.984126984126984
Latvia,-0.1473214285714286,-0.8008474576271187
Lebanon,0.28125,-0.745664739884393
Lesotho,-0.34482758620689646,-1.2317880794701987
Liberia,0.13375796178343946,-1.375
Libya,0.8829268292682927,-0.8212290502793297
