team,home_win_rate,home_draw_rate,home_loss_rate
Abkhazia,52.17391304347826,34.78260869565217,13.043478260869565
Afghanistan,37.5,25.0,37.5
Albania,37.142857142857146,22.857142857142858,40.0
Alderney,2.083333333333333,2.083333333333333,95.83333333333334
Algeria,58.028169014084504,24.225352112676056,17.74647887323944
American Samoa,12.0,8.0,80.0
Andalusia,58.333333333333336,33.33333333333333,8.333333333333332
Andorra,10.434782608695652,13.91304347826087,75.65217391304347
Angola,47.549019607843135,32.84313725490196,19.607843137254903
Anguilla,6.666666666666667,13.333333333333334,80.0
Antigua and Barbuda,40.0,19.230769230769234,40.76923076923077
Arameans Suryoye,33.33333333333333,33.33333333333333,33.33333333333333
Argentina,67.0510708401977,21.25205930807249,11.696869851729819
Armenia,31.818181818181817,23.484848484848484,44.696969696969695
Artsakh,57.14285714285714,14.285714285714285,28.57142857142857
Aruba,30.666666666666664,18.666666666666668,50.66666666666667
Australia,57.49235474006116,18.960244648318042,23.547400611620795
Austria,51.298701298701296,19.264069264069263,29.43722943722944
Aymara,0.0,0.0,100.0
Azerbaijan,25.82781456953642,31.125827814569533,43.04635761589404
Bahamas,28.57142857142857,17.142857142857142,54.285714285714285
Bahrain,40.45584045584046,26.495726495726498,33.04843304843305
Bangladesh,32.098765432098766,25.925925925925924,41.9753086419753
Barawa,27.27272727272727,0.0,72.72727272727273
Barbados,36.15819209039548,27.683615819209038,36.15819209039548
Basque Country,65.71428571428571,20.0,14.285714285714285
Belarus,34.72222222222222,28.47222222222222,36.80555555555556
Belgium,54.26695842450766,19.037199124726477,26.695842450765866
Belize,38.18181818181819,14.545454545454545,47.27272727272727
Benin,38.88888888888889,27.77777777777778,33.33333333333333
Bermuda,41.07142857142857,18.75,40.17857142857143
Bhutan,22.857142857142858,11.428571428571429,65.71428571428571
Biafra,50.0,0.0,50.0
Bolivia,36.059479553903344,25.27881040892193,38.66171003717472
Bonaire,21.052631578947366,26.31578947368421,52.63157894736842
Bosnia and Herzegovina,42.33576642335766,26.277372262773724,31.386861313868614
Botswana,36.15819209039548,25.98870056497175,37.85310734463277
Brazil,71.1038961038961,18.993506493506494,9.902597402597403
British Virgin Islands,26.0,18.0,56.00000000000001
Brittany,55.55555555555556,22.22222222222222,22.22222222222222
Brunei,30.18867924528302,7.547169811320755,62.264150943396224
Bulgaria,47.85276073619632,23.006134969325153,29.141104294478527
Burkina Faso,51.162790697674424,27.906976744186046,20.930232558139537
Burundi,40.816326530612244,23.46938775510204,35.714285714285715
Cambodia,33.33333333333333,18.30065359477124,48.36601307189542
